1,"a -Amilase dari Aspergillus oryzae, Var (alpha-Amylase from Aspergillus oryzae, var.)",
2,"Agar-agar (Agar)",
3,"Agar-agar (Agar)",
4,"Agar-agar (Agar)",
5,"Agar-agar (Agar)",
6,"Agar-agar (Agar)",
7,"Alfa-Siklodekstrin (alpha-Cyclodextrin)",
8,"Alfa-Siklodekstrin (alpha-Cyclodextrin)",
9,"Amonium Fosfatidat (Ammonium Phosphatide)",
10,"Amonium hidrogen karbonat (Ammonium hydrogen carbonate)",
11,"Amonium hidrogen karbonat (Ammonium hydrogen carbonate) ",
12,"Amonium hidrogen karbonat (Ammonium hydrogen carbonate)",
13,"Amonium karbonat (Ammonium carbonate)",
14,"Amonium karbonat (Ammonium carbonate)",
15,"Amonium karbonat (Ammonium carbonate)",
16,"Amonium klorida (Ammonium chloride)",
17,"Antosianin (Anthocyanins)",
18,"Asam 5- inosinat (5-Inosinic acid)",
19,"Asam 5-guanilat (5-Guanylic acid)",
20,"Asam adipat (Adipic acid) ",
21,"Asam adipat (Adipic acid)",
22,"Asam alginat (Alginic acid)",
23,"Asam alginat (Alginic acid)",
24,"Asam alginat (Alginic acid)",
25,"Asam alginat (Alginic acid)",
26,"Asam alginat (Alginic acid)",
27,"Asam asetat (Acetic acid)",
28,"Asam askorbat (Ascorbic acid)",
29,"Asam benzoate (Benzoic acid)",
30,"Asam eritorbat (Erythorbic acid)",
31,"Asam fosfat (Orthophosphoric acid)",
32,"Asam fumarat (Fumaric acid)",
33,"Asam fumarat (Fumaric acid)",
34,"Asam hidroklorida (Hydrochloric acid)",
35,"Asam laktat (Lactic acid)",
36,"Asam L-glutamat (L-Glutamic acid)",
37,"Asam malat (Malic acid)",
38,"Asam propionat (Propionic acid)",
39,"Asam siklamat (Cyclamic acid)",
40,"Asam sitrat (Citric acid)",
41,"Asam sorbat (Sorbic acid) ",
42,"Asam tartrat (Tartaric acid)",
43,"Asesulfam-K (Acesulfame potassium)",
44,"Asetil pati oksidasi (Acetylated oxidized starch)",
45,"Asetil pati oksidasi (Acetylated oxidized starch)",
46,"Asetil pati oksidasi (Acetylated oxidized starch)",
47,"Askorbil palmitat (Ascorbyl palmitate)",
48,"Askorbil stearat (Ascorbyl stearate)",
49,"Aspartam (Aspartame)",
50,"Belerang dioksida (Sulphur dioxide)",
51,"Besi (II) Glukonat",
52,"Beta-apo-8-karotenal CI. No. 40820 (beta-Apo-8-Carotenal)",
53,"Beta-karoten (sayuran) CI. No. 75130 (Carotenes, beta(vegetable))",
54,"Beta-karoten (sintetik) CI. No. 40800 (beta-Carotenes, synthetic)",
55,"Beta-karoten dari Blakeslea trispora (beta-Carotenes (Blakeslea trispora))",
56,"Biru berlian FCF CI No. 42090 (Brilliant blue FCF)",
57,"Bromelain (Bromelain)",
58,"Bromelain (Bromelain)",
59,"Bromelain (Bromelain)",
60,"Butil hidrokinon tersier/TBHQ (Tertiary butylhydroquinone)",
61,"Butil hidroksi anisol/BHA (Butylated hydroxyanisole)",
62,"Butil hidroksi toluen/BHT (Butylated hydroxytoluene)",
63,"Coklat HT CI. No. 20285 (Brown HT)",
64,"d-alfa tokoferol (d-alpha-Tocopherol )",
65,"Dekstrin (Dextrins) ",
66,"Dekstrin (Dextrins)",
67,"Dekstrin (Dextrins) ",
68,"Dikalium 5-guanilat (Dipotassium 5- guanylate) ",
69,"Dikalium 5-inosinat (Dipotassium 5- inosinate)",
70,"Dikalium fosfat (Dipotassium orthophosphate)",
71,"Dikalium fosfat (Dipotassium orthophosphate)",
72,"Dikalium fosfat (Dipotassium orthophosphate)",
73,"Dikalsium difosfat (Dicalcium diphosphate)",
74,"Dikalsium difosfat (Dicalcium diphosphate)",
75,"Dikalsium difosfat (Dicalcium diphosphate)",
76,"Dikalsium fosfat (Dicalcium orthophosphate) ",
77,"Dinatrium 5- inosinat (Disodium 5- inosinate)",
78,"Dinatrium 5- ribonukleotida (Disodium 5- ribonucleotides)",
79,"Dinatrium 5-guanilat (Disodium 5- guanylate)",
80,"Dinatrium difosfat (Disodium diphosphate)",
81,"Dinatrium difosfat (Disodium diphosphate)",
82,"Dinatrium difosfat (Disodium diphosphate)",
83,"Dinatrium fosfat (Disodium orthophosphate)",
84,"Dinatrium fosfat (Disodium orthophosphate)",
85,"Dinatrium fosfat (Disodium orthophosphate)",
86,"Dinatrium monohidrogen sitrat (Disodium monohydrogen citrate)",
87,"Dinatrium monohidrogen sitrat (Disodium monohydrogen citrate)",
88,"Dinatrium monohidrogen sitrat (Disodium monohydrogen citrate)",
89,"Dipati adipat terasetilasi (Acetylated distarch adipate) ",
90,"Dipati adipat terasetilasi (Acetylated distarch adipate) ",
91,"Dipati adipat terasetilasi (Acetylated distarch adipate) ",
92,"Dipati adipat terasetilasi (Acetylated distarch adipate) ",
93,"Dipati fosfat (Distarch phosphate)",
94,"Dipati fosfat (Distarch phosphate)",
95,"Dipati fosfat (Distarch phosphate)",
96,"Dipati fosfat (Distarch phosphate)",
97,"Dipati fosfat terasetilasi (Acetylated distrarch phosphate)",
98,"Dipati fosfat terasetilasi (Acetylated distrarch phosphate)",
99,"Dipati fosfat terasetilasi (Acetylated distrarch phosphate)",
100,"Dipati fosfat terasetilasi (Acetylated distrarch phosphate)",
101,"dl-alfa tokoferol (dl-alpha Tocopherol)",
102,"Ekstrak anato CI. No. 75120 (berbasis bixin) (Annatto extracts, bixin based)",
103,"Ekstrak cochineal No. 75470 (Cochineal extract)",
104,"Ekstrak Luo Han Guo (berasal dari buah Siraitia grosvenorii) atau Monk Fruit Extract",Pemanis
105,"Ekstrak Quillaila",
106,"Ekstrak Ragi (Yeast Extract)",
107,"Ekstrak Rosemari (Rosemary Extract)",Antioksidan
108,"Eritritol (Erythritol)",
109,"Eritrosin CI. No. 45430 (Erythrosine)",
110,"Ester asam lemak dan asetat dari gliserol (Acetic and fatty acid esters of glycerol)",
111,"Ester asam lemak dan asetat dari gliserol (Acetic and fatty acid esters of glycerol)",
112,"Ester asam lemak dan asetat dari gliserol (Acetic and fatty acid esters of glycerol)",
