Month	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
36	-0.3201	13.8503	0.12919	9.5	10.4	11	11.3	11.8	12.1	12.7	13.9	15.1	15.9	16.4	17.3	17.8	19	21.2
37	-0.3216	14.0385	0.12988	9.6	10.5	11.1	11.4	11.9	12.3	12.9	14	15.3	16.1	16.7	17.5	18.1	19.3	21.6
38	-0.323	14.2265	0.13059	9.7	10.6	11.2	11.6	12.1	12.5	13	14.2	15.6	16.3	16.9	17.8	18.4	19.6	21.9
39	-0.3243	14.414	0.13135	9.8	10.8	11.4	11.7	12.2	12.6	13.2	14.4	15.8	16.6	17.1	18	18.6	19.9	22.3
40	-0.3257	14.601	0.13213	10	10.9	11.5	11.8	12.4	12.8	13.4	14.6	16	16.8	17.4	18.3	18.9	20.2	22.6
41	-0.327	14.7873	0.13293	10.1	11	11.6	12	12.5	12.9	13.5	14.8	16.2	17	17.6	18.6	19.2	20.5	23
42	-0.3283	14.9727	0.13376	10.2	11.1	11.8	12.1	12.7	13.1	13.7	15	16.4	17.3	17.9	18.8	19.5	20.8	23.3
43	-0.3296	15.1573	0.1346	10.3	11.3	11.9	12.2	12.8	13.2	13.9	15.2	16.6	17.5	18.1	19.1	19.7	21.1	23.7
44	-0.3309	15.341	0.13545	10.4	11.4	12	12.4	13	13.4	14	15.3	16.8	17.7	18.3	19.3	20	21.4	24.1
45	-0.3322	15.524	0.1363	10.5	11.5	12.1	12.5	13.1	13.5	14.2	15.5	17	17.9	18.6	19.6	20.3	21.7	24.4
46	-0.3335	15.7064	0.13716	10.6	11.6	12.3	12.6	13.2	13.7	14.3	15.7	17.3	18.2	18.8	19.9	20.6	22	24.8
47	-0.3348	15.8882	0.138	10.7	11.7	12.4	12.8	13.4	13.8	14.5	15.9	17.5	18.4	19.1	20.1	20.8	22.3	25.2
48	-0.3361	16.0697	0.13884	10.8	11.8	12.5	12.9	13.5	14	14.7	16.1	17.7	18.6	19.3	20.4	21.1	22.6	25.5
49	-0.3374	16.2511	0.13968	10.9	11.9	12.6	13	13.7	14.1	14.8	16.3	17.9	18.9	19.5	20.6	21.4	22.9	25.9
50	-0.3387	16.4322	0.14051	11	12.1	12.8	13.2	13.8	14.3	15	16.4	18.1	19.1	19.8	20.9	21.7	23.2	26.3
51	-0.34	16.6133	0.14132	11.1	12.2	12.9	13.3	13.9	14.4	15.1	16.6	18.3	19.3	20	21.2	22	23.5	26.7
52	-0.3414	16.7942	0.14213	11.2	12.3	13	13.4	14.1	14.5	15.3	16.8	18.5	19.5	20.3	21.4	22.2	23.9	27
53	-0.3427	16.9748	0.14293	11.3	12.4	13.1	13.5	14.2	14.7	15.4	17	18.7	19.8	20.5	21.7	22.5	24.2	27.4
54	-0.344	17.1551	0.14371	11.3	12.5	13.2	13.7	14.3	14.8	15.6	17.2	18.9	20	20.8	22	22.8	24.5	27.8
55	-0.3453	17.3347	0.14448	11.4	12.6	13.4	13.8	14.5	15	15.8	17.3	19.1	20.2	21	22.2	23.1	24.8	28.2
56	-0.3466	17.5136	0.14525	11.5	12.7	13.5	13.9	14.6	15.1	15.9	17.5	19.3	20.4	21.2	22.5	23.3	25.1	28.5
57	-0.3479	17.6916	0.146	11.6	12.8	13.6	14	14.8	15.3	16.1	17.7	19.6	20.7	21.5	22.7	23.6	25.4	28.9
58	-0.3492	17.8686	0.14675	11.7	12.9	13.7	14.2	14.9	15.4	16.2	17.9	19.8	20.9	21.7	23	23.9	25.7	29.3
59	-0.3505	18.0445	0.14748	11.8	13.1	13.8	14.3	15	15.5	16.4	18	20	21.1	21.9	23.3	24.2	26	29.6
60	-0.3518	18.2193	0.14821	11.9	13.2	14	14.4	15.2	15.7	16.5	18.2	20.2	21.3	22.2	23.5	24.4	26.3	30
